T05,International migrants and refugees,,,,,
795,Turkmenistan,2010,International migrant stock: Female (% total Population),4.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
795,Turkmenistan,2010,Total refugees and people in refugee-like situations (number),62,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
795,Turkmenistan,2010,Other of concern to UNHCR (number),"20,000",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
795,Turkmenistan,2010,Total population of concern to UNHCR (number),"20,062",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
795,Turkmenistan,2015,International migrant stock: Both sexes (number),"196,376",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
795,Turkmenistan,2015,International migrant stock: Both sexes (% total population),3.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
795,Turkmenistan,2015,International migrant stock: Male (% total Population),3.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
795,Turkmenistan,2015,International migrant stock: Female (% total Population),3.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
795,Turkmenistan,2015,Total refugees and people in refugee-like situations (number),27,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
795,Turkmenistan,2015,Other of concern to UNHCR (number),"7,144",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
795,Turkmenistan,2015,Total population of concern to UNHCR (number),"7,171",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
795,Turkmenistan,2020,International migrant stock: Both sexes (number),"194,920",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
795,Turkmenistan,2020,International migrant stock: Both sexes (% total population),3.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
795,Turkmenistan,2020,International migrant stock: Male (% total Population),3.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
795,Turkmenistan,2020,International migrant stock: Female (% total Population),3.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
795,Turkmenistan,2020,Total refugees and people in refugee-like situations (number),21,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
795,Turkmenistan,2020,Other of concern to UNHCR (number),"3,790","In the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. The decrease in the reporting figure is due to naturalization in Turkmenistan and confirmation of nationality by a third country.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
795,Turkmenistan,2020,Total population of concern to UNHCR (number),"3,811",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
795,Turkmenistan,2021,Total refugees and people in refugee-like situations (number),20,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
795,Turkmenistan,2021,Other of concern to UNHCR (number),"4,107","In the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. The decrease in the reporting figure is due to naturalization in Turkmenistan and confirmation of nationality by a third country.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
795,Turkmenistan,2021,Total population of concern to UNHCR (number),"4,127",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
796,Turks and Caicos Islands,2005,International migrant stock: Both sexes (number),"13,115",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
796,Turks and Caicos Islands,2005,International migrant stock: Both sexes (% total population),46.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
796,Turks and Caicos Islands,2010,International migrant stock: Both sexes (number),"17,216",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
796,Turks and Caicos Islands,2010,International migrant stock: Both sexes (% total population),52.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
796,Turks and Caicos Islands,2015,International migrant stock: Both sexes (number),"22,723",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
796,Turks and Caicos Islands,2015,International migrant stock: Both sexes (% total population),63.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
796,Turks and Caicos Islands,2015,Total refugees and people in refugee-like situations (number),4,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
796,Turks and Caicos Islands,2015,"Asylum seekers, including pending cases (number)",4,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
796,Turks and Caicos Islands,2015,Total population of concern to UNHCR (number),8,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
796,Turks and Caicos Islands,2020,International migrant stock: Both sexes (number),"25,748",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
796,Turks and Caicos Islands,2020,International migrant stock: Both sexes (% total population),66.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
796,Turks and Caicos Islands,2020,Total refugees and people in refugee-like situations (number),4,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
796,Turks and Caicos Islands,2020,"Asylum seekers, including pending cases (number)",3,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
796,Turks and Caicos Islands,2020,Total population of concern to UNHCR (number),7,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
796,Turks and Caicos Islands,2021,Total refugees and people in refugee-like situations (number),8,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
796,Turks and Caicos Islands,2021,"Asylum seekers, including pending cases (number)",5,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
796,Turks and Caicos Islands,2021,Total population of concern to UNHCR (number),13,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
798,Tuvalu,2005,International migrant stock: Both sexes (number),209,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
798,Tuvalu,2005,International migrant stock: Both sexes (% total population),2.1,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
798,Tuvalu,2010,International migrant stock: Both sexes (number),220,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
798,Tuvalu,2010,International migrant stock: Both sexes (% total population),2.1,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
798,Tuvalu,2015,International migrant stock: Both sexes (number),230,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
798,Tuvalu,2015,International migrant stock: Both sexes (% total population),2.1,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
798,Tuvalu,2020,International migrant stock: Both sexes (number),239,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
798,Tuvalu,2020,International migrant stock: Both sexes (% total population),2.0,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2005,International migrant stock: Both sexes (number),"593,308",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2005,International migrant stock: Both sexes (% total population),2.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2005,International migrant stock: Male (% total Population),2.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2005,International migrant stock: Female (% total Population),2.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2005,Total refugees and people in refugee-like situations (number),"257,256",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2005,"Asylum seekers, including pending cases (number)","1,809",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2005,Other of concern to UNHCR (number),"1,636",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2005,Total population of concern to UNHCR (number),"260,701",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2010,International migrant stock: Both sexes (number),"492,930",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2010,International migrant stock: Both sexes (% total population),1.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2010,International migrant stock: Male (% total Population),1.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2010,International migrant stock: Female (% total Population),1.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2010,Total refugees and people in refugee-like situations (number),"135,801",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2010,"Asylum seekers, including pending cases (number)","20,804",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2010,Other of concern to UNHCR (number),"437,775",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2010,Total population of concern to UNHCR (number),"594,380",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2015,International migrant stock: Both sexes (number),"851,175",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2015,International migrant stock: Both sexes (% total population),2.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2015,International migrant stock: Male (% total Population),2.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2015,International migrant stock: Female (% total Population),2.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2015,Total refugees and people in refugee-like situations (number),"428,397",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2015,"Asylum seekers, including pending cases (number)","38,068",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2015,Other of concern to UNHCR (number),"180,000",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2015,Total population of concern to UNHCR (number),"646,465",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2020,International migrant stock: Both sexes (number),"1,720,313",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2020,International migrant stock: Both sexes (% total population),3.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2020,International migrant stock: Male (% total Population),3.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2020,International migrant stock: Female (% total Population),3.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
800,Uganda,2020,Total refugees and people in refugee-like situations (number),"1,396,780",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2020,"Asylum seekers, including pending cases (number)","28,260",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2020,Other of concern to UNHCR (number),"2,351,314",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2020,Total population of concern to UNHCR (number),"3,776,354",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2021,Total refugees and people in refugee-like situations (number),"1,475,311",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2021,"Asylum seekers, including pending cases (number)","23,124",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2021,Other of concern to UNHCR (number),"2,509,400",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
800,Uganda,2021,Total population of concern to UNHCR (number),"4,007,835",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2005,International migrant stock: Both sexes (number),"5,050,302",Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2005,International migrant stock: Both sexes (% total population),10.8,Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2005,International migrant stock: Male (% total Population),10.0,Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2005,International migrant stock: Female (% total Population),11.5,Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2005,Total refugees and people in refugee-like situations (number),"2,346",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2005,"Asylum seekers, including pending cases (number)","1,618",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2005,Other of concern to UNHCR (number),"72,896",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2005,Total population of concern to UNHCR (number),"76,860",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2010,International migrant stock: Both sexes (number),"4,818,767",Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2010,International migrant stock: Both sexes (% total population),10.5,Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2010,International migrant stock: Male (% total Population),9.8,Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2010,International migrant stock: Female (% total Population),11.1,Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2010,Total refugees and people in refugee-like situations (number),"3,022",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2010,"Asylum seekers, including pending cases (number)","2,981",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2010,Other of concern to UNHCR (number),"40,357",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2010,Total population of concern to UNHCR (number),"46,360",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2015,International migrant stock: Both sexes (number),"4,915,142",Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2015,International migrant stock: Both sexes (% total population),10.9,Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2015,International migrant stock: Male (% total Population),10.2,Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2015,International migrant stock: Female (% total Population),11.6,Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2015,Total refugees and people in refugee-like situations (number),"3,232",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2015,"Asylum seekers, including pending cases (number)","6,169",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2015,Other of concern to UNHCR (number),"1,417,179",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2015,Total population of concern to UNHCR (number),"1,426,580",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2020,International migrant stock: Both sexes (number),"4,997,387",Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2020,International migrant stock: Both sexes (% total population),11.4,Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2020,International migrant stock: Male (% total Population),10.6,Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2020,International migrant stock: Female (% total Population),12.1,Including Crimea.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
804,Ukraine,2020,Total refugees and people in refugee-like situations (number),"2,218",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2020,"Asylum seekers, including pending cases (number)","2,271",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2020,Other of concern to UNHCR (number),"2,449,642",The IDP figure has been aligned to the inter-agency methodology as defined in the 2020 Humanitarian Needs Overview. Figure of others of concern relates to persons who have specific protection needs and live in non-government-controlled areas or within 20km of the contact line in government-controlled areas.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2020,Total population of concern to UNHCR (number),"2,454,131",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2021,Total refugees and people in refugee-like situations (number),"2,310",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2021,"Asylum seekers, including pending cases (number)","2,628",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2021,Other of concern to UNHCR (number),"2,389,875",The IDP figure has been aligned to the inter-agency methodology as defined in the 2020 Humanitarian Needs Overview. Figure of others of concern relates to persons who have specific protection needs and live in non-government-controlled areas or within 20km of the contact line in government-controlled areas.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
804,Ukraine,2021,Total population of concern to UNHCR (number),"2,394,753",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2005,International migrant stock: Both sexes (number),"3,281,115",Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2005,International migrant stock: Both sexes (% total population),71.5,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2005,International migrant stock: Male (% total Population),74.0,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2005,International migrant stock: Female (% total Population),65.7,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2005,Total refugees and people in refugee-like situations (number),104,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2005,"Asylum seekers, including pending cases (number)",79,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2005,Total population of concern to UNHCR (number),183,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2010,International migrant stock: Both sexes (number),"7,316,697",Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2010,International migrant stock: Both sexes (% total population),85.6,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2010,International migrant stock: Male (% total Population),85.4,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2010,International migrant stock: Female (% total Population),86.0,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2010,Total refugees and people in refugee-like situations (number),538,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2010,"Asylum seekers, including pending cases (number)",86,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2010,Total population of concern to UNHCR (number),624,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2015,International migrant stock: Both sexes (number),"7,995,126",Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2015,International migrant stock: Both sexes (% total population),86.3,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2015,International migrant stock: Male (% total Population),90.3,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2015,International migrant stock: Female (% total Population),76.8,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2015,Total refugees and people in refugee-like situations (number),424,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2015,"Asylum seekers, including pending cases (number)",378,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2015,Total population of concern to UNHCR (number),802,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2020,International migrant stock: Both sexes (number),"8,716,332",Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2020,International migrant stock: Both sexes (% total population),88.1,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2020,International migrant stock: Male (% total Population),93.9,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2020,International migrant stock: Female (% total Population),75.2,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
784,United Arab Emirates,2020,Total refugees and people in refugee-like situations (number),"1,288",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2020,"Asylum seekers, including pending cases (number)","7,231",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2020,Other of concern to UNHCR (number),135,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2020,Total population of concern to UNHCR (number),"8,654",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2021,Total refugees and people in refugee-like situations (number),"1,296",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2021,"Asylum seekers, including pending cases (number)","7,238",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2021,Other of concern to UNHCR (number),130,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
784,United Arab Emirates,2021,Total population of concern to UNHCR (number),"8,659",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2005,International migrant stock: Both sexes (number),"5,926,156",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2005,International migrant stock: Both sexes (% total population),9.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2005,International migrant stock: Male (% total Population),9.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2005,International migrant stock: Female (% total Population),10.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2005,Total refugees and people in refugee-like situations (number),"303,181",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2005,"Asylum seekers, including pending cases (number)","12,500",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2005,Other of concern to UNHCR (number),909,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2005,Total population of concern to UNHCR (number),"316,590",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
